Row Labels, amount_spent,frequency ,max_date,Current_date,recency,frequency_score,monetary_score2
12528,1922.28,95,11/30/2011,5/6/2012,158,7,7
12530,1623.63,68,11/10/2011,5/7/2012,179,6,7
12531,125.22,17,11/25/2011,5/8/2012,165,2,0
12532,349.83,16,9/11/2011,5/9/2012,241,2,3
12534,1089.18,63,1/8/2011,5/10/2012,488,6,6
12535,716.35,34,9/9/2011,5/11/2012,245,4,5
12536,4106.82,273,11/10/2011,5/12/2012,184,9,9
12538,363.95,21,10/11/2011,5/13/2012,215,2,3
12539,3852.5,274,11/17/2011,5/14/2012,179,9,9
12540,13309.04,481,11/20/2011,5/15/2012,177,9,9
12541,981.18,52,10/11/2011,5/16/2012,218,5,6
12544,355.7,20,10/11/2011,5/17/2012,219,2,3
12545,1000.39,50,9/25/2011,5/18/2012,236,5,6
12546,1141.5,70,10/24/2011,5/19/2012,208,6,6
12547,207.8,8,5/26/2011,5/20/2012,360,1,1
12548,95.2,5,6/26/2011,5/21/2012,330,0,0
12550,964.83,57,9/21/2011,5/22/2012,244,5,6
12551,168,10,12/17/2010,5/23/2012,523,1,1
12552,437.82,20,10/31/2011,5/24/2012,206,2,3
12553,3652.25,196,12/10/2011,5/25/2012,167,8,9
12556,603.71,121,11/7/2011,5/26/2012,201,7,4
12557,11990.96,33,11/23/2011,5/27/2012,186,4,9
12558,2.66454E-14,22,8/12/2011,5/28/2012,290,3,0
12559,536.21,22,2/2/2011,5/29/2012,482,3,4
12560,2101.39,111,8/31/2011,5/30/2012,273,7,8
12561,238.85,16,10/2/2011,5/31/2012,242,2,2
12562,3781.74,168,11/17/2011,6/1/2012,197,8,9
12564,456.9,21,3/23/2011,6/2/2012,437,2,3
12565,131.17,10,3/3/2011,6/3/2012,458,1,0
12566,346.7,20,9/28/2011,6/4/2012,250,2,3
12567,9114.94,463,11/17/2011,6/5/2012,201,9,9
12569,4064.99,191,12/10/2011,6/6/2012,179,8,9
12571,519.61,34,10/31/2011,6/7/2012,220,4,4
12572,1004.72,62,10/23/2011,6/8/2012,229,6,6
12573,160.54,28,4/26/2011,6/9/2012,410,3,1
12574,218.45,11,1/28/2011,6/10/2012,499,1,1
12576,1306.98,89,8/2/2011,6/11/2012,314,7,6
12577,595.4,148,4/11/2011,6/12/2012,428,8,4
12578,2753.36,120,11/18/2011,6/13/2012,208,7,8
12579,410.72,31,9/27/2011,6/14/2012,261,4,3
12580,415.7,24,7/4/2011,6/15/2012,347,3,3
12581,197.71,15,10/31/2011,6/16/2012,229,2,1
12582,511.36,22,4/15/2011,6/17/2012,429,3,4
12583,7187.34,251,12/10/2011,6/18/2012,191,9,9
12584,1893.95,126,11/30/2011,6/19/2012,202,8,7
12585,1982.81,97,5/1/2011,6/20/2012,416,7,7
12586,179.94,12,11/22/2011,6/21/2012,212,1,1
12587,144,4,2/12/2011,6/22/2012,496,0,0
12588,214.9,10,10/31/2011,6/23/2012,236,1,1
12589,646.68,35,11/11/2011,6/24/2012,226,4,4
12590,9861.38,70,12/5/2011,6/25/2012,203,6,9
12591,452.85,26,1/26/2011,6/26/2012,517,3,3
12592,437.6,18,10/5/2011,6/27/2012,266,2,3
12593,418.1,21,8/23/2011,6/28/2012,310,2,3
12594,3320.22,119,10/24/2011,6/29/2012,249,7,8
12596,618.27,27,11/4/2011,6/30/2012,239,3,4
12597,3683.13,214,11/20/2011,7/1/2012,224,9,9
12598,3002.68,133,11/30/2011,7/2/2012,215,8,8
12599,1032.58,62,11/7/2011,7/3/2012,239,6,6
12600,2581.04,65,11/11/2011,7/4/2012,236,6,8
12601,569.56,29,11/1/2011,7/5/2012,247,3,4
12602,153.12,12,12/10/2011,7/6/2012,209,1,1
12603,739.2,2,11/18/2011,7/7/2012,232,0,5
12604,254.18,16,9/21/2011,7/8/2012,291,2,2
12605,-7.5,3,9/12/2010,7/9/2012,666,0,0
12607,3.33955E-13,202,12/10/2011,7/10/2012,213,8,0
12609,1126.85,60,9/22/2011,7/11/2012,293,6,6
12610,2057.99,111,11/17/2011,7/12/2012,238,7,8
12611,1193.32,65,10/18/2011,7/13/2012,269,6,6
12612,643.59,21,10/13/2011,7/14/2012,275,2,4
12613,3218.98,163,10/13/2011,7/15/2012,276,8,8
12614,315.6,20,7/3/2011,7/16/2012,379,2,2
12615,2291.19,105,9/29/2011,7/17/2012,292,7,8
12616,657.25,36,9/15/2011,7/18/2012,307,4,5
12617,355.53,42,10/11/2011,7/19/2012,282,4,3
12618,177.31,11,11/18/2011,7/20/2012,245,1,1
12619,3214.81,95,11/23/2011,7/21/2012,241,7,8
12620,1339.41,92,11/25/2011,7/22/2012,240,7,7
12621,13612.07,474,12/5/2011,7/23/2012,231,9,9
12622,180.1,11,4/21/2011,7/24/2012,460,1,1
12623,305.1,18,8/3/2011,7/25/2012,357,2,2
12624,641.13,38,8/25/2011,7/26/2012,336,4,4
12625,2614.32,91,12/5/2011,7/27/2012,235,7,8
12626,6388.35,307,11/16/2011,7/28/2012,255,9,9
12627,4478.53,230,11/29/2011,7/29/2012,243,9,9
12628,769.61,43,11/21/2011,7/30/2012,252,5,5
12630,1270.88,64,11/30/2011,7/31/2012,244,6,6
12631,640.5,31,10/13/2011,8/1/2012,293,4,4
12633,2140.63,103,12/10/2011,8/2/2012,236,7,8
12635,1689.18,101,11/9/2011,8/3/2012,268,7,7
12637,5953.25,394,9/9/2011,8/4/2012,330,9,9
12638,671.69,39,6/11/2011,8/5/2012,421,4,5
12639,486.1,22,4/15/2011,8/6/2012,479,3,4
12640,1174.58,53,11/16/2011,8/7/2012,265,5,6
12641,185.9,10,8/16/2011,8/8/2012,358,1,1
12642,1013.26,47,11/14/2011,8/9/2012,269,5,6
12643,3344.64,24,11/1/2011,8/10/2012,283,3,8
12644,477.91,31,2/8/2011,8/11/2012,550,4,4
12645,1755.38,74,8/22/2011,8/12/2012,356,6,7
12646,1346.97,45,10/21/2011,8/13/2012,297,5,7
12647,3669.92,127,11/17/2011,8/14/2012,271,8,9
12648,318.05,21,8/7/2011,8/15/2012,374,2,2
12649,603.71,33,11/5/2011,8/16/2012,285,4,4
12650,314.44,20,6/12/2011,8/17/2012,432,2,2
12651,114,9,9/1/2011,8/18/2012,352,1,0
12652,914.53,51,12/1/2011,8/19/2012,262,5,6
12653,2209.85,43,7/14/2011,8/20/2012,403,5,8
12654,601.98,38,11/29/2011,8/21/2012,266,4,4
12656,3982.72,130,12/8/2011,8/22/2012,258,8,9
12657,1152.06,56,11/28/2011,8/23/2012,269,5,6
12658,686.05,36,11/21/2011,8/24/2012,277,4,5
12659,91.68,5,10/11/2011,8/25/2012,319,0,0
12660,245.1,13,11/28/2011,8/26/2012,272,1,2
12662,3817.08,232,11/16/2011,8/27/2012,285,9,9
12664,4863.88,38,12/10/2011,8/28/2012,262,4,9
12665,61.75,4,12/1/2011,8/29/2012,272,0,0
12666,-227.44,2,12/15/2010,8/30/2012,624,0,0
12667,620.13,33,12/10/2011,8/31/2012,265,4,4
12668,3743.18,168,11/28/2011,9/1/2012,278,8,9
12669,1607.73,102,12/7/2011,9/2/2012,270,7,7
12670,2986.15,94,11/29/2011,9/3/2012,279,7,8
12672,225.9,10,1/14/2011,9/4/2012,599,1,1
12673,610.52,42,4/12/2011,9/5/2012,512,4,4
12674,1919.31,91,11/28/2011,9/6/2012,283,7,7
12676,1331.39,45,11/15/2011,9/7/2012,297,5,7
12678,17588.26,167,10/28/2011,9/8/2012,316,8,9
12679,1058.67,56,12/10/2011,9/9/2012,274,5,6
12680,862.81,52,11/9/2011,9/10/2012,306,5,5
12681,13677.59,646,11/25/2011,9/11/2012,291,9,9
12682,12288.22,525,12/8/2011,9/12/2012,279,9,9
12683,8221.09,362,12/5/2011,9/13/2012,283,9,9
12684,2283.63,105,11/15/2011,9/14/2012,304,7,8
12685,2863.08,157,11/11/2011,9/15/2012,309,8,8
12686,89.14,7,3/12/2010,9/16/2012,919,0,0
12688,4873.81,171,8/18/2011,9/17/2012,396,8,9
12689,1247.61,72,11/14/2011,9/18/2012,309,6,6
12690,389.01,16,5/18/2011,9/19/2012,490,2,3
12691,1035.8,32,12/10/2011,9/20/2012,285,4,6
12693,830.96,41,12/5/2011,9/21/2012,291,4,5
12694,869.67,37,9/30/2011,9/22/2012,358,4,5
12695,582.1,27,8/24/2011,9/23/2012,396,3,4
12697,939.02,43,11/18/2011,9/24/2012,311,5,6
12700,4867.99,270,8/5/2011,9/25/2012,417,9,9
12701,797.71,53,11/4/2011,9/26/2012,327,5,5
12702,219,12,11/20/2011,9/27/2012,312,1,1
12703,274.7,22,9/29/2011,9/28/2012,365,3,2
12704,2220.84,90,11/17/2011,9/29/2012,317,7,8
12705,6814.24,348,11/24/2011,9/30/2012,311,9,9
12707,603.42,33,2/21/2011,10/1/2012,588,4,4
12708,2616.32,174,11/3/2011,10/2/2012,334,8,8
12709,9294.1,257,12/10/2011,10/3/2012,298,9,9
12710,1130.57,79,5/22/2011,10/4/2012,501,6,6
12712,4241.63,142,12/1/2011,10/5/2012,309,8,9
12713,848.55,38,9/12/2011,10/6/2012,390,4,5
12714,4708.86,259,11/30/2011,10/7/2012,312,9,9
12715,353.86,21,8/25/2011,10/8/2012,410,2,3
12716,1053.49,69,7/29/2011,10/9/2012,438,6,6
12717,980.98,56,11/7/2011,10/10/2012,338,5,6
12718,238.25,19,9/29/2011,10/11/2012,378,2,2
12719,608.1,42,11/10/2011,10/12/2012,337,4,4
12720,5713.28,359,12/7/2011,10/13/2012,311,9,9
12721,2628.98,164,9/21/2011,10/14/2012,389,8,8
12722,904.33,57,12/7/2011,10/15/2012,313,5,5
12723,725.07,69,11/23/2011,10/16/2012,328,6,5
12724,1031.41,53,11/1/2011,10/17/2012,351,5,6
12725,427.8,24,3/12/2010,10/18/2012,951,3,3
12726,2609.1,124,11/11/2011,10/19/2012,343,7,8
12727,3947.7,141,11/29/2011,10/20/2012,326,8,9
12728,836.33,46,11/1/2011,10/21/2012,355,5,5
12729,453.01,26,8/18/2011,10/22/2012,431,3,3
12731,18793.41,277,11/16/2011,10/23/2012,342,9,9
12732,236.26,12,6/13/2011,10/24/2012,499,1,2
12733,383.95,22,4/19/2011,10/25/2012,555,3,3
12734,110.4,4,12/22/2010,10/26/2012,674,0,0
12735,779.57,43,6/1/2011,10/27/2012,514,5,5
12736,234,4,11/1/2011,10/28/2012,362,0,1
12738,155.35,11,2/12/2010,10/29/2012,990,1,1
12739,1013.04,38,9/22/2011,10/30/2012,404,4,6
12740,427.6,27,7/10/2011,10/31/2012,479,3,3
12743,546.43,134,7/28/2011,11/1/2012,462,8,4
12744,9120.39,229,10/19/2011,11/2/2012,380,9,9
12747,4196.01,103,11/17/2011,11/3/2012,352,7,9
12748,29072.1,4641,12/5/2011,11/4/2012,335,9,9
12749,3868.2,231,11/17/2011,11/5/2012,354,9,9
12750,275.88,15,3/8/2011,11/6/2012,609,2,2
12752,4366.78,53,9/19/2011,11/7/2012,415,5,9
12753,21024.01,230,11/17/2011,11/8/2012,357,9,9
12754,2949.12,65,7/3/2011,11/9/2012,495,6,8
12755,2203.2,6,7/3/2011,11/10/2012,496,0,8
12756,112.08,4,9/14/2011,11/11/2012,424,0,0
12757,4227.7,377,12/5/2011,11/12/2012,343,9,9
12758,2791.59,97,8/15/2011,11/13/2012,456,7,8
12759,1531.44,95,10/18/2011,11/14/2012,393,7,7
12762,1898.52,69,11/14/2011,11/15/2012,367,6,7
12763,494.08,18,7/24/2011,11/16/2012,481,2,4
12764,1693.88,45,1/27/2011,11/17/2012,660,5,7
12766,6989.63,310,10/13/2011,11/18/2012,402,9,9
12769,1143.6,32,4/15/2011,11/19/2012,584,4,6
12770,1351.45,12,5/13/2011,11/20/2012,557,1,7
12772,892.47,55,11/10/2011,11/21/2012,377,5,5
12775,1351.24,67,11/22/2011,11/22/2012,366,6,7
12778,804.23,51,11/20/2011,11/23/2012,369,5,5
12779,3868.7,159,11/18/2011,11/24/2012,372,8,9
12781,707.72,30,11/18/2011,11/25/2012,373,4,5
12782,2273.32,107,7/13/2011,11/26/2012,502,7,8
12783,1603.87,86,10/17/2011,11/27/2012,407,7,7
12784,574.42,59,11/30/2011,11/28/2012,364,6,4
12785,305.71,15,7/12/2011,11/29/2012,506,2,2
12787,463.66,20,11/30/2011,11/30/2012,366,2,3
12789,91.85,4,5/10/2011,12/1/2012,571,0,0
12790,324.92,21,5/31/2011,12/2/2012,551,2,2
12791,192.6,2,1/12/2010,12/3/2012,1056,0,1
12792,400.54,25,3/28/2011,12/4/2012,617,3,3
12793,545.48,24,9/1/2011,12/5/2012,461,3,4
12794,860.41,45,10/17/2011,12/6/2012,416,5,5
12795,430.48,14,11/21/2011,12/7/2012,382,1,3
12797,194.18,17,12/14/2010,12/8/2012,725,2,1
12798,6977.04,8,11/29/2011,12/9/2012,376,1,9
12802,412.58,26,9/6/2011,12/10/2012,461,3,3
12808,483.65,28,8/6/2011,12/11/2012,493,3,4
12809,484.36,26,6/24/2011,12/12/2012,537,3,4
12811,514.85,31,3/24/2011,12/13/2012,630,4,4
12812,229.64,15,10/26/2011,12/14/2012,415,2,1
12814,125.92,2,8/30/2011,12/15/2012,473,0,0
12815,1063.46,47,7/15/2011,12/16/2012,520,5,6
12816,572.2,29,6/16/2011,12/17/2012,550,3,4
12817,166.04,4,3/3/2011,12/18/2012,656,0,1
12818,1517.88,16,6/14/2011,12/19/2012,554,2,7
12820,942.34,59,10/26/2011,12/20/2012,421,6,6
12821,92.72,6,9/5/2011,12/21/2012,473,0,0
12822,918.98,47,9/30/2011,12/22/2012,449,5,6
12823,1759.5,5,9/26/2011,12/23/2012,454,0,7
12824,397.12,25,11/10/2011,12/24/2012,410,3,3
12826,1468.12,94,10/11/2011,12/25/2012,441,7,7
12827,430.15,25,10/26/2011,12/26/2012,427,3,3
12828,1018.71,56,8/19/2011,12/27/2012,496,5,6
12829,253.05,12,7/1/2011,12/28/2012,546,1,2
12830,6748.4,39,9/9/2011,12/29/2012,477,4,9
12831,215.05,9,3/22/2011,12/30/2012,649,1,1
12832,383.03,27,7/11/2011,12/31/2012,539,3,3
12833,417.38,24,7/17/2011,1/1/2013,534,3,3
12834,312.38,18,2/3/2011,1/2/2013,699,2,2
12836,2612.86,175,11/10/2011,1/3/2013,420,8,8
12837,134.1,12,6/19/2011,1/4/2013,565,1,0
12838,683.13,123,6/11/2011,1/5/2013,574,7,5
12839,5583.62,316,11/28/2011,1/6/2013,405,9,9
12840,2714.27,116,10/6/2011,1/7/2013,459,7,8
12841,3876.4,439,12/6/2011,1/8/2013,399,9,9
12842,1118.99,34,9/30/2011,1/9/2013,467,4,6
12843,1680.76,108,10/5/2011,1/10/2013,463,7,7
12844,325.96,52,10/11/2011,1/11/2013,458,5,2
12845,354.09,27,3/17/2011,1/12/2013,667,3,3
12847,871.54,91,11/17/2011,1/13/2013,423,7,5
12849,1050.89,51,8/11/2011,1/14/2013,522,5,6
12851,135.18,50,4/9/2011,1/15/2013,647,5,0
12852,299.75,20,2/22/2011,1/16/2013,694,2,2
12853,1881.7,84,9/5/2011,1/17/2013,500,6,7
12854,1289.15,115,12/4/2011,1/18/2013,411,7,6
12855,38.1,3,2/12/2010,1/19/2013,1072,0,0
12856,2162.68,317,11/21/2011,1/20/2013,426,9,8
12857,1106.4,46,10/2/2011,1/21/2013,477,5,6
12863,504.2,6,10/18/2011,1/22/2013,462,0,4
12864,147.12,3,7/24/2011,1/23/2013,549,0,1
12865,1548.07,96,11/13/2011,1/24/2013,438,7,7
12866,559.12,26,1/3/2011,1/25/2013,753,3,4
12867,3986.22,551,11/13/2011,1/26/2013,440,9,9
12868,1607.06,107,12/1/2011,1/27/2013,423,7,7
12870,-14.9,2,8/12/2010,1/28/2013,900,0,0
12871,380.64,11,9/16/2011,1/29/2013,501,1,3
12872,599.97,66,1/17/2011,1/30/2013,744,6,4
12873,374,4,2/3/2011,1/31/2013,728,0,3
12875,343.23,2,7/19/2011,2/1/2013,563,0,3
12876,2218.02,85,10/13/2011,2/2/2013,478,6,8
12877,1535.77,154,11/15/2011,2/3/2013,446,8,7
12878,841.64,49,11/21/2011,2/4/2013,441,5,5
12879,552.57,12,10/26/2011,2/5/2013,468,1,4
12881,298,7,9/3/2011,2/6/2013,522,0,2
12882,1463.04,13,11/30/2011,2/7/2013,435,1,7
12883,703.47,42,11/15/2011,2/8/2013,451,4,5
12884,309.05,7,12/9/2011,2/9/2013,428,0,2
12885,1158.27,72,11/8/2011,2/10/2013,460,6,6
12886,1351.09,86,10/5/2011,2/11/2013,495,7,7
12888,313.77,7,9/5/2011,2/12/2013,526,0,2
12890,380.47,82,11/15/2011,2/13/2013,456,6,3
12891,331,3,7/6/2011,2/14/2013,589,0,2
12893,188.14,34,9/11/2011,2/15/2013,523,4,1
12895,347.3,24,10/28/2011,2/16/2013,477,3,3
12897,216.5,4,11/2/2011,2/17/2013,473,0,1
12901,16293.1,125,11/29/2011,2/18/2013,447,8,9
12902,138.68,10,3/20/2011,2/19/2013,702,1,0
12904,509.58,72,11/21/2011,2/20/2013,457,6,4
12906,2919.81,63,11/28/2011,2/21/2013,451,6,8
12908,246,4,12/10/2011,2/22/2013,440,0,2
12909,2128.83,96,10/31/2011,2/23/2013,481,7,8
12910,3075.04,75,12/4/2011,2/24/2013,448,6,8
12912,1662.3,24,11/25/2011,2/25/2013,458,3,7
12913,2483.63,50,11/24/2011,2/26/2013,460,5,8
12915,363.65,22,7/14/2011,2/27/2013,594,3,3
12916,2982.35,109,7/24/2011,2/28/2013,585,7,8
12917,594,2,3/8/2011,3/1/2013,724,0,4
12919,1301.44,52,12/7/2011,3/2/2013,451,5,6
12920,164.23,28,11/22/2011,3/3/2013,467,3,1
12921,16389.74,741,12/5/2011,3/4/2013,455,9,9
12922,405.38,28,1/7/2011,3/5/2013,788,3,3
12923,176.97,29,6/10/2011,3/6/2013,635,3,1
12924,929.95,31,12/9/2011,3/7/2013,454,4,6
12925,694.05,45,9/26/2011,3/8/2013,529,5,5
12928,2062.7,84,12/4/2011,3/9/2013,461,6,8
12929,105.1,9,9/8/2011,3/10/2013,549,1,0
12930,409.9,27,9/22/2011,3/11/2013,536,3,3
12931,33462.81,102,11/18/2011,3/12/2013,480,7,9
12933,606.28,107,11/15/2011,3/13/2013,484,7,4
12935,2156.45,130,11/13/2011,3/14/2013,487,8,8
12936,1012.9,63,11/22/2011,3/15/2013,479,6,6
12937,1504.27,120,11/24/2011,3/16/2013,478,7,7
12938,114.14,9,11/14/2011,3/17/2013,489,1,0
12939,11581.8,47,11/3/2011,3/18/2013,501,5,9
12940,876.29,103,10/24/2011,3/19/2013,512,7,5
12942,683.9,75,7/31/2011,3/20/2013,598,6,5
12943,-3.75,1,11/2/2011,3/21/2013,505,0,0
12944,604.51,30,4/11/2011,3/22/2013,711,4,4
12945,462.95,23,2/24/2011,3/23/2013,758,3,3
12947,1407.29,103,10/6/2011,3/24/2013,535,7,7
12948,2053.7,118,11/23/2011,3/25/2013,488,7,8
